Start Date,End Date,Location,Text,Link
2025-02-18 00:00:00,2025-02-18 00:00:00,"Business Design Centre, London",The Garden Press Event is the first event of the gardening year and has been the launch pad for many companies and products.,https://www.gardenpressevent.co.uk/
2024-11-15 00:00:00,2024-11-17 00:00:00,Sau Paulo Exhibition Centre,"An unmissable event for Business People, Investors, Healthcare Professionals, Researchers and Enthusiasts",https://expocannabisbrasil-com.translate.goog/?_x_tr_sl=pt&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc
2024-11-27 00:00:00,2024-11-28 00:00:00,"NEC, Birmingham","The largest leading educational event in the UK for Physiotherapists, Sports Therapist’s, Osteopath’s, Chiropractors and Massage Therapist’s",https://www.therapyexpo.co.uk/
2024-04-27 23:00:00,2024-04-27 23:00:00,"Applemore Health and Leisure Centre, Claypits Lane, Dibden, Southampton",Southampton Fast Twitch Triathlon ,https://challenging.events/e/southampton-fast-twitch-8657
2024-04-20 23:00:00,2024-04-20 23:00:00,"Wood St, Stratford-upon-Avon",Come and join us for the return of the Shakespeare Marathon and Half Marathon. ,https://www.runthrough.co.uk/event/shakespeare-marathon-and-half-april-2024/
2024-04-19 23:00:00,2024-04-19 23:00:00,Carsington Water,Join us for this Half Marathon & 10k event at the stunning Carsington Water on Saturday 20th April. You will run an undulating route on trail paths around Carsington Water and soak up the epic views of the surrounding countryside.,https://www.runthrough.co.uk/event/carsington-water-half-marathon-10k-april-2024/
2024-04-20 23:00:00,2024-04-20 23:00:00,"London, United Kingdom","The London Marathon is the most popular marathon on the planet and more than one million people have completed the event since its first edition in 1981. The entire course is lined with spectators, cheering participants on every step of the way, making for a unique atmosphere and unforgettable experience.",https://www.letsdothis.com/gb/e/tcs-london-marathon-20432
2024-10-12 23:00:00,2024-10-13 23:00:00,Excel London,"Autumn's biggest beauty event, Olympia Beauty brings beauty professionals the brands, treatments and education, plus endless networking opportunities.",https://www.olympiabeauty.co.uk/
2024-04-28 23:00:00,2024-04-30 23:00:00,NEC-Birmingham,"The National Convenience Show is the biggest event for the convenience-retailing sector, providing a single platform for the whole market to come together - suppliers, wholesalers and retailers.",https://www.nationalconvenienceshow.co.uk/
2024-02-24 00:00:00,2024-02-24 00:00:00,Goodwood Racecourse,The 3rd edition of the Kingley Vale Half Marathon / Trail Run beginning and finishing at the Glorious Goodwood Racecourse,https://www.ukrunningevents.co.uk/events/trail-runs/kingley-vale-trail-run-2024
2024-02-25 00:00:00,2024-02-25 00:00:00,Prestwold Hall,Half Marathon with over 2000 runners competing,https://www.runthrough.co.uk/event/leicestershire-half-marathon-february-2024/
2024-02-18 00:00:00,2024-02-18 00:00:00,"Park Road, Sutton Colefield","5K, 10K and Half Marathon with over 1500 runners competing ",https://www.runthrough.co.uk/event/birmingham-running-festival-february-2024/
2024-02-17 00:00:00,2024-02-17 00:00:00,Carsington Water,Half Marathon & 10k event at the stunning Carsington Water. Runners will run an undulating route on trail paths around Carsington Water and soak up the epic views of the surrounding countryside.,https://www.runthrough.co.uk/event/carsington-water-half-marathon-10k-february-2024/
2024-02-04 00:00:00,2024-02-04 00:00:00,Warwick Racecourse,Half Marathon with over 2000 runners competing ,https://www.runthrough.co.uk/event/warwick-half-marathon-2024/
2024-01-21 00:00:00,2024-01-21 00:00:00,"Broadlands, Romsey",Romsey 5 Mile Race ,https://challenging.events/e/romsey-5-mile-8647
2024-10-12 23:00:00,2024-10-13 23:00:00,"NEC, Birmingham",The UK’s only dedicated trade show and education conference designed for the community and primary care pharmacy sector,https://www.thepharmacyshow.co.uk/
2024-10-08 23:00:00,2024-10-09 23:00:00,"NEC, Birmingham",The UK’s number one free event for the General Practice and Primary Care communities. Professionals from General Practice and Primary Care keen to update their knowledge and skills via the extensive FREE educational programme as well as experience the latest products and services.,https://www.bestpracticeshow.co.uk/
2024-03-23 00:00:00,2024-03-24 00:00:00,"NEC, Birmingham","The National Outdoor Expo is one of the biggest community meet-ups of the year, bringing together inspirational speakers, cutting-edge technologies and the best in gear, all under one roof.",https://nationaloutdoorexpo.com/
2024-02-29 00:00:00,2024-03-01 00:00:00,"Alexandra Palace, London","Toolfair and ProBuilderLive are the single most powerful and cost-effective marketing tool, that allows exhibitors to demonstrate products first-hand.",https://toolfair.info/
2023-11-02 00:00:00,2023-11-05 00:00:00,"Orange County Convention Centre, Orlando USA","Mr. Olympia is 'The World's most prestigious Bodybuilding Competition', and for good reason. Iconic bodybuilders like Frank Zane, Ronnie Coleman, and Arnold Schwarzenegger have all brought home the coveted Sandow Trophy. Their victories have catapulted their careers, and the sport's popularity.",https://mrolympia.com/
2023-10-13 23:00:00,,Richmond RiversideHam Street Riverside,10k and Half Marathon,https://thefixevents.com/the-richmond-autumn-riverside-10k-and-half-marathon-run
2023-10-14 23:00:00,,Owestery,Half Marathon & 10k,https://www.adrenalinesportingevents.co.uk/oswestry-10k-run-running-event/
2023-10-14 23:00:00,,Oxford,Marathon,https://limelightsports.club/event/oxford-half-2023
2023-10-14 23:00:00,,Carsington Water,Half Marathon & 10K,https://www.runthrough.co.uk/event/carsington-water-half-marathon-10k-october-2023/
2023-10-13 23:00:00,,"St Marks Gate, Victoria Park, Cadogan Terrace","5K, 10K & HALF MARATHON",https://www.runthrough.co.uk/event/victoria-park-5k-10k-half-marathon-october-2023/
2023-10-07 23:00:00,,Morecambe,"Marathon, Half Marathon &10k",https://www.lancaster-race-series.co.uk/enter-our-races/
2023-10-07 23:00:00,,Half Marathon,Half Marathon,https://www.activeleisureevents.co.uk/
2023-10-07 23:00:00,,Henley on Thames,Half Marathon ,https://henleyhalf.co.uk/
2024-06-12 23:00:00,2024-06-15 23:00:00,NEC Birmingham,"The best gardening show filled with garden inspiration, expert advice top products and live entertainment.",https://www.bbcgardenersworldlive.com/
2024-02-20 00:00:00,,"Business Design Centre, London",The Garden Press Event is the first event of the gardening year and has been the launch pad for many companies and products. ,https://www.gardenpressevent.co.uk/
2024-05-14 23:00:00,2024-05-15 23:00:00,NEC,"The UK’s leading Event for GP’s, Podiatrist’s, Physiotherapist’s and Nurse’s",https://www.primarycareshow.co.uk/
2023-09-16 23:00:00,,Worcester,10k and Half Marathon ,https://worcestercityrun.com/#Event%20Info
2023-09-16 23:00:00,,"St Giles' Square, Northampton","Half Marathon, Relay and 3 mile",https://www.letsdothis.com/gb/e/northampton-half-marathon-61742
2023-09-09 23:00:00,,Kenilworth,Half Marathon and 5k,http://kenilworthrunners.com/kenilworth-half-marathon
2024-01-20 00:00:00,2024-01-21 00:00:00,"NEC, Birmingham","This is the biggest community meet-up of the year and perfectly timed for runners that are training for events in the Spring, bringing together inspirational speakers, cutting-edge technologies and the best in nutrition, all under one roof.",https://nationalrunningshow.com/
2023-11-05 00:00:00,,"Old Knebworth Ln, Knebworth",Half Marathon and 10k,https://www.runthrough.co.uk/event/hertfordshire-half-marathon-10k-november-2023/
2023-10-28 23:00:00,,"Pirelli Stadium, Burton-on-Trent","
5K & 10K",https://www.runthrough.co.uk/event/brewers-10k-october-2023/
2023-10-21 23:00:00,,"Cheshire County Sports Club, Chester",Cheshire 10k and 10 Mile,https://www.runthrough.co.uk/event/cheshire-10k-2023/
2023-09-30 23:00:00,,"Hart Field Sports Ground, Rugby",Half Marathon,https://www.runthrough.co.uk/event/rugby-half
2023-09-29 23:00:00,,"Tatton Park Gardens, Knutsford",5k and 10K,https://www.runthrough.co.uk/event/tatton-10k-september-2023/
2023-09-27 23:00:00,,"Salford, Manchester",5K and 10K,https://www.runthrough.co.uk/event/run-media-city-5k-10k-september-2023
2023-09-23 23:00:00,,Warrington Town Centre,"5K, 10K and Half Marathon",https://www.runthrough.co.uk/event/warrington-running-festival-2023
2023-09-16 23:00:00,,Altrincham Town Centre,10K,https://www.altrincham10k.com/event/altrincham-10k-2023/
2023-09-08 23:00:00,,"Queen Elizabeth Olympic Park, London",5K and 10K,https://www.runthrough.co.uk/event/qe-olympic-park-5k-10k-september-2023/
2023-09-08 23:00:00,,"Aintree Racecourse, Liverpool","5K, 10K and Half Marathon ",https://www.runaintree.com/
2023-08-30 23:00:00,,Salford,5K and 10K,"https://www.runmediacity.com/event/run-media-city-august-2023/#:~:text=Come%20and%20join%20us%20on,ITV%20and%20BBC%20television%20studios."
2024-09-09 23:00:00,2024-09-11 23:00:00,NEC Birmingham,"

The UK’s leading Garden & Outdoor Living Trade Show.

",https://www.gleebirmingham.com/
2023-10-10 23:00:00,2023-10-11 23:00:00,"NEC, Birmingham",The UK’s number one free event for the General Practice and Primary Care communities. Professionals from General Practice and Primary Care keen to update their knowledge and skills via the extensive FREE educational programme as well as experience the latest products and services.,https://www.bestpracticeshow.co.uk/best-practice-birmingham-2023-nec
2024-03-15 00:00:00,2024-03-17 00:00:00,"NEC, Birmingham","The Arnold Sports Festival is the Health and Fitness Industries largest celebration of health and fitness. The event is showcased across the 3 days including - Strongman (Arnold Strongman Classic), Bodybuilding (IFBB Pro), Powerlifting (IPF Federation), Crossfit Arnold Fitness Games + MMA, Cheer and Dance PLUS MANY MORE!",https://arnoldsportsuk.com/
2023-11-25 00:00:00,2023-11-26 00:00:00,"NAEC Stoneleigh, Kenilworth",WINTER SOLDIERS-Last CrossFit Competition of 2023,https://www.bfmg.co.uk/winter-soldiers/
2023-11-18 00:00:00,2023-11-19 00:00:00,"English Institute of Sport, Sheffield",REP IT OUT UK- CrossFit Competition,https://www.bfmg.co.uk/rep-it-out/
2023-11-22 00:00:00,2023-11-23 00:00:00,"NEC, Birmingham","The largest leading educational event in the UK for Physiotherapists, Sports Therapist’s, Osteopath’s, Chiropractors and Massage Therapist’s",https://www.therapyexpo.co.uk/
2023-10-14 23:00:00,2023-10-15 23:00:00,"NEC, Birmingham",The UK’s only dedicated trade show and education conference designed for the community and primary care pharmacy sector,https://www.thepharmacyshow.co.uk/?utm_source=google&utm_medium=cpc&gclid=CjwKCAjw5_GmBhBIEiwA5QSMxDbQmAYUvRnGC5fBa2Fw2Kr3OEJaxJ9UAUfAzvBnGX3ZucExgfT7uRoCqX4QAvD_BwE
2023-10-21 23:00:00,,"Prestwold Hall, Leicester","5K,10K and 10 Miles",https://www.leicestershire10k.com/event/leicestershire-running-festival-october-2023/
2023-09-16 23:00:00,,"Sutton Park, Birmingham","5K, 10K and Half Marathon",https://www.birminghamrunningfestival.com/event/birmingham-running-festival-september-2023/
2023-09-23 23:00:00,,"Thurleigh, Bedford","5K, 10K, Half Marathon, 16 Mile, 20 Mile & Marathon",https://www.runthrough.co.uk/event/running-gp-bedford-autodrome-september-2023/
2023-10-04 23:00:00,2023-10-04 23:00:00,"NEC, Birmingham",Multi-award-winning trade show for the build environment.,https://www.ukconstructionweek.com/?utm_source=google&utm_medium=cpc&utm_campaign=tagdigital&gad=1&gclid=CjwKCAjw5_GmBhBIEiwA5QSMxCf7ie-WoIbOxlJ0MKDIn1HUyzalZyOjTVwSb8DQvkqSkgq-Ia808hoCOs4QAvD_BwE
2023-08-25 23:00:00,2023-08-26 23:00:00,"Chard, Somerset",UK’s main disabled strongman event,https://www.facebook.com/p/Britains-Disabled-Strongman-Competition-100057604652197/
2023-09-14 23:00:00,2023-09-16 23:00:00,"Orlando, USA","One of the largest Strongman events in history. Classes for Men, Women, Adaptive and Pro",https://theworldstrengthgames.com/
2023-08-12 23:00:00,,"Solihull, Birmingham","10K, half marathon & kids race",https://www.runsolihull.com/event/solihull-half-marathon-10k-2023/
2023-08-15 23:00:00,,"Cannock Chase Forest, Rugeley","5K,10K and 10 Miles",https://www.runthrough.co.uk/event/cannock-chase-the-sun-5k-10k-and-10mile-august-2023/
2023-08-26 23:00:00,,"Elvaston Castle, Derby","5K, 10K and Half Marathon",https://www.runthrough.co.uk/event/derby-running-festival-2023/
2023-08-04 23:00:00,2023-08-05 23:00:00,"JCCS, Leeds",TRINITY WAR NORTH- CrossFit Competition,https://www.bfmg.co.uk/trinity-war-north/
2023-08-10 23:00:00,2023-08-11 23:00:00,"Quarry Lodge, Shrewsbury",One of the country’s premier Flower Show events attracting top exhibitors.,https://shrewsburyflowershow.org.uk/
2023-06-14 23:00:00,2023-06-17 23:00:00,"NEC, Birmingham",A Public facing Show full of Gardeners and Horticulturists,https://www.bbcgardenersworldlive.com/whatson/2023-tickets/
2023-06-23 23:00:00,2023-06-24 23:00:00,NAEC Stoneleigh,RAGNAROK CrossFit Competition,
2023-06-26 23:00:00,2023-06-28 23:00:00,"NEC, Birmingham",The UK’s leading Garden & Outdoor Living Trade Show,
2023-05-16 23:00:00,2023-05-17 23:00:00,"NEC, Birmingham","The UK’s leading Event for GP’s, Podiatrist’s, Physiotherapist’s and Nurse’s",
2023-06-13 23:00:00,2023-06-14 23:00:00,"ExCel, London","B2B event of Gym’s, Sports Clubs, Personal Trainer’s and Private Practices",https://www.excel.london/m/visitor/whats-on/elevate-2023
2023-02-21 00:00:00,,"Business Design Centre, London","An event full of Journalists, broadcasters, freelance Writers, Bloggers and Vloggers",https://www.gardenpressevent.co.uk/
